phase,case_id,instance,solution,scale,gurobi_runtime_seconds,gurobi_runtime_status,gurobi_runtime_source,time_limit_seconds,time_limit_rule,eval_time_limit_seconds,checker_accepted
holdout,riley2025,tiny_instance.json,tiny_solution.json,small,0.617145529948175,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
holdout,rostami2021,large_instance_5.json,large_solution_5.json,large,784.83,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,rostami2021,tiny_instance.json,tiny_solution.json,small,0.18,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,sadykov2013,large_instance_5.json,large_solution_5.json,large,3604.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,sadykov2013,tiny_instance.json,tiny_solution.json,small,5.04,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
holdout,sansegundo2016,large_instance_1.json,large_solution_1.json,large,112.8,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
holdout,sansegundo2016,tiny_instance.json,tiny_solution.json,small,0.84,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,schwerdfeger2016,large_instance_1.json,large_solution_1.json,large,26.5,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
holdout,schwerdfeger2016,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,watermeyer2023,large_instance_5.json,large_solution_5.json,large,102.54,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
holdout,watermeyer2023,tiny_instance.json,tiny_solution.json,small,0.11,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,wu2018,large_instance_3.json,large_solution_3.json,large,3600.22,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,wu2018,tiny_instance.json,tiny_solution.json,small,0.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,zetina2020,large_instance_2.json,large_solution_2.json,large,3601.15,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,zetina2020,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,araujo2020,large_instance_1.json,large_solution_1.json,large,54.31,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
test,araujo2020,tiny_instance.json,tiny_solution.json,small,0.61,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,bard2002,large_instance_1.json,large_solution_1.json,large,3600.591076553799,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
test,bard2002,tiny_instance.json,tiny_solution.json,small,0.17819811031222343,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
test,belvaux2000,large_instance_2.json,large_solution_2.json,large,3600.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,belvaux2000,tiny_instance.json,tiny_solution.json,small,0.57,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,bertsimas2022,large_instance_4.json,large_solution_4.json,large,3606.96,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,bertsimas2022,tiny_instance.json,tiny_solution.json,small,0.25,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,bertsimas2024,large_instance_4.json,large_solution_4.json,large,3028.6974435467273,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
test,bertsimas2024,tiny_instance.json,tiny_solution.json,small,4.254862774163485,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
test,boland2019,large_instance_1.json,large_solution_1.json,large,3600.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,boland2019,tiny_instance.json,tiny_solution.json,small,2.9,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,buchheim2018,large_instance_3.json,large_solution_3.json,large,3600.56,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,buchheim2018,tiny_instance.json,tiny_solution.json,small,4.5,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,caprara1999,large_instance_1.json,large_solution_1.json,large,16.28,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
test,caprara1999,tiny_instance.json,tiny_solution.json,small,0.2,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,chebil2019,large_instance_3.json,large_solution_3.json,large,179.24,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,900,True
test,chebil2019,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,colombi2017,large_instance_3.json,large_solution_3.json,large,3600.27,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,colombi2017,tiny_instance.json,tiny_solution.json,small,0.13,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,delage2022,large_instance_1.json,large_solution_1.json,large,3600.37,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,delage2022,tiny_instance.json,tiny_solution.json,small,22.77,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
test,engineer2012,large_instance_1.json,large_solution_1.json,large,1632.81,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,engineer2012,tiny_instance.json,tiny_solution.json,small,12.41,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
test,fischetti1997,large_instance_1.json,large_solution_1.json,large,3602.97,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,fischetti1997,tiny_instance.json,tiny_solution.json,small,0.26,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,gangammanavar2020,large_instance_5.json,large_solution_5.json,large,118.24,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
test,gangammanavar2020,tiny_instance.json,tiny_solution.json,small,0.3,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,gschwind2021,large_instance_1.json,large_solution_1.json,large,3622.7386569269,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
test,gschwind2021,tiny_instance.json,tiny_solution.json,small,0.11490924376994371,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
test,he2020,large_instance_3.json,large_solution_3.json,large,3624.26,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,he2020,tiny_instance.json,tiny_solution.json,small,4.25,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,ji2019,large_instance_1.json,large_solution_1.json,large,3600.85,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,ji2019,tiny_instance.json,tiny_solution.json,small,0.6,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,klose2005,large_instance_1.json,large_solution_1.json,large,3614.82,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,klose2005,tiny_instance.json,tiny_solution.json,small,2.02,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,kowalczyk2024,large_instance_4.json,large_solution_4.json,large,235.66,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,900,True
test,kowalczyk2024,tiny_instance.json,tiny_solution.json,small,24.14,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
test,legrain2020,large_instance_1.json,large_solution_1.json,large,3602.37,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,legrain2020,tiny_instance.json,tiny_solution.json,small,3.84,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,lozano2017,large_instance_2.json,large_solution_2.json,large,546.2803139062598,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
test,lozano2017,tiny_instance.json,tiny_solution.json,small,0.21614709962159395,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
test,martello1999,large_instance_1.json,large_solution_1.json,large,233.24,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,900,True
test,martello1999,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,morrison2016,large_instance_2.json,large_solution_2.json,large,97.21,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
test,morrison2016,tiny_instance.json,tiny_solution.json,small,0.09,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,muter2010,large_instance_2.json,large_solution_2.json,large,1523.6928333165124,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
test,muter2010,tiny_instance.json,tiny_solution.json,small,8.557744901627302,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,900,True
test,potthoff2010,large_instance_5.json,large_solution_5.json,large,0.16989686340093613,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
test,potthoff2010,tiny_instance.json,tiny_solution.json,small,0.12171446159482002,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
test,rahmaniani2018,large_instance_3.json,large_solution_3.json,large,232.11549211107194,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,900,True
test,rahmaniani2018,tiny_instance.json,tiny_solution.json,small,100.9549294617027,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,900,True
test,reinhardt2016,large_instance_2.json,large_solution_2.json,large,3601.71,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,reinhardt2016,tiny_instance.json,tiny_solution.json,small,18.8,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
test,segundo2019,large_instance_1.json,large_solution_1.json,large,3628.93,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
test,segundo2019,tiny_instance.json,tiny_solution.json,small,32.69,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
test,wangk2020,large_instance_1.json,large_solution_1.json,large,238.96,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,900,True
test,wangk2020,tiny_instance.json,tiny_solution.json,small,2.37,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
test,zohali2022,large_instance_2.json,large_solution_2.json,large,30.215197525918484,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,900,True
test,zohali2022,tiny_instance.json,tiny_solution.json,small,0.5188968786969781,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
train,adulyasak2015,large_instance_4.json,large_solution_4.json,large,3614.41,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,adulyasak2015,tiny_instance.json,tiny_solution.json,small,0.9,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,alba2013,large_instance_5.json,large_solution_5.json,large,499.9,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,alba2013,tiny_instance.json,tiny_solution.json,small,0.34,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,alfieri2020,large_instance_3.json,large_solution_3.json,large,3609.59,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,alfieri2020,tiny_instance.json,tiny_solution.json,small,0.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,amaldi2013,large_instance_4.json,large_solution_4.json,large,3601.32,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,amaldi2013,tiny_instance.json,tiny_solution.json,small,6.87,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,araujo2015,large_instance_2.json,large_solution_2.json,large,3600.82,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,araujo2015,tiny_instance.json,tiny_solution.json,small,0.5,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,archetti2007,large_instance_2.json,large_solution_2.json,large,2996.36,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,archetti2007,tiny_instance.json,tiny_solution.json,small,0.54,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,armbruster2012,large_instance_3.json,large_solution_3.json,large,3615.76,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,armbruster2012,tiny_instance.json,tiny_solution.json,small,19.29,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,arslan2021,large_instance_3.json,large_solution_3.json,large,27.483967878855765,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,,True
train,arslan2021,tiny_instance.json,tiny_solution.json,small,0.17558692675083876,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,,True
train,barnhart2000,large_instance_5.json,large_solution_5.json,large,543.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,barnhart2000,tiny_instance.json,tiny_solution.json,small,0.09,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bayani2024,large_instance_4.json,large_solution_4.json,large,3601.49,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,bayani2024,tiny_instance.json,tiny_solution.json,small,0.6,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,belhoul2014,large_instance_3.json,large_solution_3.json,large,49.42,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,belhoul2014,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bentert2022,large_instance_5.json,large_solution_5.json,large,3574.69,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,bentert2022,tiny_instance.json,tiny_solution.json,small,90.25,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,bergman2019,large_instance_3.json,large_solution_3.json,large,3600.17,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,bergman2019,tiny_instance.json,tiny_solution.json,small,0.27,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bettinelli2017,large_instance_4.json,large_solution_4.json,large,3610.9,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,bettinelli2017,tiny_instance.json,tiny_solution.json,small,0.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bierwirth2017,large_instance_1.json,large_solution_1.json,large,3600.35,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,bierwirth2017,tiny_instance.json,tiny_solution.json,small,3.75,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bode2012,large_instance_3.json,large_solution_3.json,large,1.86,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bode2012,tiny_instance.json,tiny_solution.json,small,2.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bodur2017,large_instance_4.json,large_solution_4.json,large,205.16,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,bodur2017,tiny_instance.json,tiny_solution.json,small,9.46,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,bollapragada2001,large_instance_5.json,large_solution_5.json,large,3600.28,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,bollapragada2001,tiny_instance.json,tiny_solution.json,small,0.29,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,borndorfer2007,large_instance_3.json,large_solution_3.json,large,3602.66,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,borndorfer2007,tiny_instance.json,tiny_solution.json,small,17.36,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,brandao2016,large_instance_2.json,large_solution_2.json,large,161.55,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,brandao2016,tiny_instance.json,tiny_solution.json,small,0.24,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,bront2009,large_instance_3.json,large_solution_3.json,large,147.8,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,bront2009,tiny_instance.json,tiny_solution.json,small,0.2,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,byeon2022,large_instance_2.json,large_solution_2.json,large,164.04107390902936,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,,True
train,byeon2022,tiny_instance.json,tiny_solution.json,small,0.2712572729215026,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,,True
train,carosi2019,large_instance_3.json,large_solution_3.json,large,3606.05,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,carosi2019,tiny_instance.json,tiny_solution.json,small,1.11,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,carvalho1999,large_instance_1.json,large_solution_1.json,large,18.62,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,carvalho1999,tiny_instance.json,tiny_solution.json,small,0.44,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,carvalho2022,large_instance_3.json,large_solution_3.json,large,3600.6,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,carvalho2022,tiny_instance.json,tiny_solution.json,small,69.37,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,castro2021,large_instance_1.json,large_solution_1.json,large,1643.35,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,castro2021,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,chebil2015,large_instance_4.json,large_solution_4.json,large,2.59,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,chebil2015,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,chen1999,large_instance_3.json,large_solution_3.json,large,3601.87,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,chen1999,tiny_instance.json,tiny_solution.json,small,16.46,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,cherkesly2015,large_instance_4.json,large_solution_4.json,large,259.20907141733915,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,,True
train,cherkesly2015,tiny_instance.json,tiny_solution.json,small,11.843637948855758,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,,True
train,contreras2011,large_instance_4.json,large_solution_4.json,large,580.75,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,contreras2011,tiny_instance.json,tiny_solution.json,small,0.22,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,cordeau2006,large_instance_2.json,large_solution_2.json,large,3600.74,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,cordeau2006,tiny_instance.json,tiny_solution.json,small,2.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,cordeau2019,large_instance_1.json,large_solution_1.json,large,268.04,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,cordeau2019,tiny_instance.json,tiny_solution.json,small,2.21,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,cote2018,large_instance_5.json,large_solution_5.json,large,24.68,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,cote2018,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,cote2019,large_instance_5.json,large_solution_5.json,large,185.19,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,cote2019,tiny_instance.json,tiny_solution.json,small,91.82,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,cunha2021,large_instance_3.json,large_solution_3.json,large,3600.48,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,cunha2021,tiny_instance.json,tiny_solution.json,small,11.69,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,degraeve2007,large_instance_3.json,large_solution_3.json,large,76.42,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,degraeve2007,tiny_instance.json,tiny_solution.json,small,0.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,desaulniers2010,large_instance_2.json,large_solution_2.json,large,3608.49,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,desaulniers2010,tiny_instance.json,tiny_solution.json,small,3.15,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,desaulniers2014,large_instance_5.json,large_solution_5.json,large,3600.3,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,desaulniers2014,tiny_instance.json,tiny_solution.json,small,0.29,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,desaulniers2016,large_instance_3.json,large_solution_3.json,large,3600.87,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,desaulniers2016,tiny_instance.json,tiny_solution.json,small,0.48,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,dienstknecht2024,large_instance_4.json,large_solution_4.json,large,3.65,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,dienstknecht2024,tiny_instance.json,tiny_solution.json,small,0.41,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,earl2005,large_instance_3.json,large_solution_3.json,large,151.6,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,earl2005,tiny_instance.json,tiny_solution.json,small,0.15,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,elci2022,large_instance_2.json,large_solution_2.json,large,2000.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,elci2022,tiny_instance.json,tiny_solution.json,small,0.46,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,fischetti1998,large_instance_2.json,large_solution_2.json,large,125.23,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,fischetti1998,tiny_instance.json,tiny_solution.json,small,0.21,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,fischetti2017,large_instance_5.json,large_solution_5.json,large,3600.78,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,fischetti2017,tiny_instance.json,tiny_solution.json,small,0.41,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,fleszar2022b,large_instance_2.json,large_solution_2.json,large,3600.27,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,fleszar2022b,tiny_instance.json,tiny_solution.json,small,0.22,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,forrest2006,large_instance_5.json,large_solution_5.json,large,274.55,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,forrest2006,tiny_instance.json,tiny_solution.json,small,0.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,fragkos2021,large_instance_3.json,large_solution_3.json,large,3600.0,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,fragkos2021,tiny_instance.json,tiny_solution.json,small,0.11,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,freeman2018,large_instance_2.json,large_solution_2.json,large,102.68,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,freeman2018,tiny_instance.json,tiny_solution.json,small,0.9,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,freling2003,large_instance_1.json,large_solution_1.json,large,117.59,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,freling2003,tiny_instance.json,tiny_solution.json,small,0.11,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,frey2017,large_instance_4.json,large_solution_4.json,large,175.01,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,,True
train,frey2017,tiny_instance.json,tiny_solution.json,small,0.25,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,furini2016,large_instance_1.json,large_solution_1.json,large,3622.53,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,furini2016,tiny_instance.json,tiny_solution.json,small,6.11,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,,True
train,furini2017,large_instance_3.json,large_solution_3.json,large,73.66,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,,True
train,furini2017,tiny_instance.json,tiny_solution.json,small,1.46,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,furini2019,large_instance_2.json,large_solution_2.json,large,3603.47,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
train,furini2019,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,,True
train,furini2021,large_instance_1.json,large_solution_1.json,large,3600.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,,True
