case_id,instance,solution,scale,gurobi_runtime_seconds,gurobi_runtime_status,gurobi_runtime_source,time_limit_seconds,time_limit_rule,checker_accepted
armbruster2012,large_instance_4.json,large_solution_4.json,large,3615.76,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
armbruster2012,large_instance_5.json,large_solution_5.json,large,3614.51,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
armbruster2012,tiny_instance.json,tiny_solution.json,small,19.29,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
armbruster2012,tiny_instance_2.json,tiny_solution_2.json,small,30.596107756718993,observed,historical_reference_regeneration_20260829,300,runtime <= 120s -> 300s,True
arslan2021,large_instance_1.json,large_solution_1.json,large,230.0179964248091,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
arslan2021,large_instance_2.json,large_solution_2.json,large,0.480691927485168,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
arslan2021,large_instance_3.json,large_solution_3.json,large,27.483967878855765,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,True
arslan2021,large_instance_4.json,large_solution_4.json,large,19.81513275951147,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,True
arslan2021,large_instance_5.json,large_solution_5.json,large,71.6241057915613,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
arslan2021,tiny_instance.json,tiny_solution.json,small,0.17558692675083876,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
bard2002,large_instance_1.json,large_solution_1.json,large,3600.591076553799,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bard2002,large_instance_2.json,large_solution_2.json,large,3600.490341892466,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bard2002,large_instance_3.json,large_solution_3.json,large,0.3849184261634946,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
bard2002,large_instance_4.json,large_solution_4.json,large,3600.7235682867467,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bard2002,large_instance_5.json,large_solution_5.json,large,3600.727088941261,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bard2002,tiny_instance.json,tiny_solution.json,small,0.17819811031222343,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
barnhart2000,large_instance_1.json,large_solution_1.json,large,699.15,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
barnhart2000,large_instance_2.json,large_solution_2.json,large,12.33,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
barnhart2000,large_instance_3.json,large_solution_3.json,large,1647.34,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
barnhart2000,large_instance_4.json,large_solution_4.json,large,17.77,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
barnhart2000,large_instance_5.json,large_solution_5.json,large,543.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
barnhart2000,tiny_instance.json,tiny_solution.json,small,0.09,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bayani2024,large_instance_1.json,large_solution_1.json,large,3602.29,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bayani2024,large_instance_2.json,large_solution_2.json,large,3601.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bayani2024,large_instance_3.json,large_solution_3.json,large,3601.19,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bayani2024,large_instance_4.json,large_solution_4.json,large,3601.49,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bayani2024,large_instance_5.json,large_solution_5.json,large,3601.75,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bayani2024,tiny_instance.json,tiny_solution.json,small,0.6,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
belhoul2014,large_instance_1.json,large_solution_1.json,large,34.41,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
belhoul2014,large_instance_2.json,large_solution_2.json,large,27.19,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
belhoul2014,large_instance_3.json,large_solution_3.json,large,49.42,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
belhoul2014,large_instance_4.json,large_solution_4.json,large,59.3,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
belhoul2014,large_instance_5.json,large_solution_5.json,large,3625.56,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
belhoul2014,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
belvaux2000,large_instance_1.json,large_solution_1.json,large,3600.2,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
belvaux2000,large_instance_2.json,large_solution_2.json,large,3600.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
belvaux2000,large_instance_3.json,large_solution_3.json,large,3600.27,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
belvaux2000,large_instance_4.json,large_solution_4.json,large,1067.24,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
belvaux2000,large_instance_5.json,large_solution_5.json,large,3600.34,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
belvaux2000,tiny_instance.json,tiny_solution.json,small,0.57,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bentert2022,large_instance_1.json,large_solution_1.json,large,78.83,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
bentert2022,large_instance_2.json,large_solution_2.json,large,259.07,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bentert2022,large_instance_3.json,large_solution_3.json,large,3601.14,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bentert2022,large_instance_4.json,large_solution_4.json,large,3601.0,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bentert2022,large_instance_5.json,large_solution_5.json,large,3574.69,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bentert2022,tiny_instance.json,tiny_solution.json,small,90.25,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
bergman2019,large_instance_1.json,large_solution_1.json,large,3600.15,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bergman2019,large_instance_2.json,large_solution_2.json,large,3600.15,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bergman2019,large_instance_3.json,large_solution_3.json,large,3600.17,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bergman2019,large_instance_4.json,large_solution_4.json,large,3600.17,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bergman2019,large_instance_5.json,large_solution_5.json,large,3600.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bergman2019,tiny_instance.json,tiny_solution.json,small,0.27,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bertsimas2022,large_instance_1.json,large_solution_1.json,large,3606.96,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bertsimas2022,large_instance_2.json,large_solution_2.json,large,3610.05,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bertsimas2022,large_instance_3.json,large_solution_3.json,large,3606.86,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bertsimas2022,large_instance_4.json,large_solution_4.json,large,3606.96,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bertsimas2022,large_instance_5.json,large_solution_5.json,large,3612.11,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bertsimas2022,tiny_instance.json,tiny_solution.json,small,0.25,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bertsimas2024,large_instance_1.json,large_solution_1.json,large,3072.537081817165,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bertsimas2024,large_instance_2.json,large_solution_2.json,large,522.0160622429103,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bertsimas2024,large_instance_3.json,large_solution_3.json,large,383.05625827703625,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bertsimas2024,large_instance_4.json,large_solution_4.json,large,3028.6974435467273,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bertsimas2024,large_instance_5.json,large_solution_5.json,large,3073.042305377312,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
bertsimas2024,tiny_instance.json,tiny_solution.json,small,4.254862774163485,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
bettinelli2017,large_instance_1.json,large_solution_1.json,large,3611.88,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bettinelli2017,large_instance_2.json,large_solution_2.json,large,3606.07,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bettinelli2017,large_instance_3.json,large_solution_3.json,large,3603.1,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bettinelli2017,large_instance_4.json,large_solution_4.json,large,3610.9,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bettinelli2017,large_instance_5.json,large_solution_5.json,large,3614.98,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bettinelli2017,tiny_instance.json,tiny_solution.json,small,0.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bierwirth2017,large_instance_1.json,large_solution_1.json,large,3600.35,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bierwirth2017,large_instance_2.json,large_solution_2.json,large,3601.4,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bierwirth2017,large_instance_3.json,large_solution_3.json,large,3600.33,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bierwirth2017,large_instance_4.json,large_solution_4.json,large,3600.47,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bierwirth2017,large_instance_5.json,large_solution_5.json,large,3600.32,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bierwirth2017,tiny_instance.json,tiny_solution.json,small,3.75,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bierwirth2017,tiny_instance_2.json,tiny_solution_2.json,small,45.237995417788625,observed,historical_reference_regeneration_20260829,300,runtime <= 120s -> 300s,True
bode2012,large_instance_1.json,large_solution_1.json,large,232.17,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bode2012,large_instance_2.json,large_solution_2.json,large,416.31,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bode2012,large_instance_3.json,large_solution_3.json,large,1.86,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bode2012,large_instance_4.json,large_solution_4.json,large,0.55,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bode2012,large_instance_5.json,large_solution_5.json,large,1.61,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bode2012,tiny_instance.json,tiny_solution.json,small,2.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bodur2017,large_instance_1.json,large_solution_1.json,large,360.24,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bodur2017,large_instance_2.json,large_solution_2.json,large,111.86,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
bodur2017,large_instance_3.json,large_solution_3.json,large,65.11,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
bodur2017,large_instance_4.json,large_solution_4.json,large,205.16,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bodur2017,large_instance_5.json,large_solution_5.json,large,220.06,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bodur2017,tiny_instance.json,tiny_solution.json,small,9.46,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
boland2019,large_instance_1.json,large_solution_1.json,large,3600.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
boland2019,large_instance_2.json,large_solution_2.json,large,3600.47,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
boland2019,large_instance_3.json,large_solution_3.json,large,3601.24,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
boland2019,large_instance_4.json,large_solution_4.json,large,3600.22,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
boland2019,large_instance_5.json,large_solution_5.json,large,3600.22,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
boland2019,tiny_instance.json,tiny_solution.json,small,2.9,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bollapragada2001,large_instance_1.json,large_solution_1.json,large,57.61,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
bollapragada2001,large_instance_2.json,large_solution_2.json,large,554.45,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bollapragada2001,large_instance_3.json,large_solution_3.json,large,3600.31,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bollapragada2001,large_instance_4.json,large_solution_4.json,large,3600.29,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bollapragada2001,large_instance_5.json,large_solution_5.json,large,3600.28,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bollapragada2001,tiny_instance.json,tiny_solution.json,small,0.29,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
borndorfer2007,large_instance_1.json,large_solution_1.json,large,3603.04,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
borndorfer2007,large_instance_2.json,large_solution_2.json,large,3602.39,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
borndorfer2007,large_instance_3.json,large_solution_3.json,large,3602.66,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
borndorfer2007,large_instance_4.json,large_solution_4.json,large,3603.38,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
borndorfer2007,large_instance_5.json,large_solution_5.json,large,3602.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
borndorfer2007,tiny_instance.json,tiny_solution.json,small,17.36,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
borndorfer2007,tiny_instance_2.json,tiny_solution_2.json,small,121.85411329101771,observed,historical_reference_regeneration_20260829,600,runtime <= 300s -> 600s,True
bragin2022,large_instance_1.json,large_solution_1.json,large,2.46,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bragin2022,large_instance_2.json,large_solution_2.json,large,3601.08,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
bragin2022,large_instance_3.json,large_solution_3.json,large,1.36,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bragin2022,large_instance_4.json,large_solution_4.json,large,1.21,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bragin2022,large_instance_5.json,large_solution_5.json,large,1.81,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bragin2022,tiny_instance.json,tiny_solution.json,small,1.42,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
brandao2016,large_instance_1.json,large_solution_1.json,large,766.69,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
brandao2016,large_instance_2.json,large_solution_2.json,large,161.55,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
brandao2016,large_instance_3.json,large_solution_3.json,large,70.63,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
brandao2016,large_instance_4.json,large_solution_4.json,large,339.15,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
brandao2016,large_instance_5.json,large_solution_5.json,large,11.88,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
brandao2016,tiny_instance.json,tiny_solution.json,small,0.24,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
bront2009,large_instance_1.json,large_solution_1.json,large,52.02,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
bront2009,large_instance_2.json,large_solution_2.json,large,164.57,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bront2009,large_instance_3.json,large_solution_3.json,large,147.8,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bront2009,large_instance_4.json,large_solution_4.json,large,234.42,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bront2009,large_instance_5.json,large_solution_5.json,large,140.82,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
bront2009,tiny_instance.json,tiny_solution.json,small,0.2,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
buchheim2018,large_instance_1.json,large_solution_1.json,large,3600.82,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
buchheim2018,large_instance_2.json,large_solution_2.json,large,2932.85,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
buchheim2018,large_instance_3.json,large_solution_3.json,large,3600.56,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
buchheim2018,large_instance_4.json,large_solution_4.json,large,3600.73,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
buchheim2018,large_instance_5.json,large_solution_5.json,large,316.1,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
buchheim2018,tiny_instance.json,tiny_solution.json,small,4.5,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
byeon2022,large_instance_1.json,large_solution_1.json,large,360.1980264717713,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
byeon2022,large_instance_2.json,large_solution_2.json,large,164.04107390902936,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
byeon2022,large_instance_3.json,large_solution_3.json,large,4.602529797703028,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
byeon2022,large_instance_4.json,large_solution_4.json,large,3.5463504418730736,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
byeon2022,large_instance_5.json,large_solution_5.json,large,624.8662024075165,observed,current_rerun_20260831,900,runtime > 300s -> 900s,True
byeon2022,tiny_instance.json,tiny_solution.json,small,0.2712572729215026,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
caprara1999,large_instance_1.json,large_solution_1.json,large,16.28,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
caprara1999,large_instance_2.json,large_solution_2.json,large,193.92,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
caprara1999,large_instance_3.json,large_solution_3.json,large,4.06,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
caprara1999,large_instance_4.json,large_solution_4.json,large,12.67,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
caprara1999,large_instance_5.json,large_solution_5.json,large,1590.59,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
caprara1999,tiny_instance.json,tiny_solution.json,small,0.2,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
carosi2019,large_instance_1.json,large_solution_1.json,large,3609.85,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carosi2019,large_instance_2.json,large_solution_2.json,large,3609.74,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carosi2019,large_instance_3.json,large_solution_3.json,large,3606.05,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carosi2019,large_instance_4.json,large_solution_4.json,large,3603.86,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carosi2019,large_instance_5.json,large_solution_5.json,large,24.81,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
carosi2019,tiny_instance.json,tiny_solution.json,small,1.11,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
carvalho1999,large_instance_1.json,large_solution_1.json,large,18.62,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
carvalho1999,large_instance_2.json,large_solution_2.json,large,1400.5,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho1999,large_instance_3.json,large_solution_3.json,large,1.64,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
carvalho1999,large_instance_4.json,large_solution_4.json,large,4.82,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
carvalho1999,large_instance_5.json,large_solution_5.json,large,465.62,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho1999,tiny_instance.json,tiny_solution.json,small,0.44,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
carvalho2022,large_instance_1.json,large_solution_1.json,large,3600.57,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho2022,large_instance_2.json,large_solution_2.json,large,3600.72,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho2022,large_instance_3.json,large_solution_3.json,large,3600.6,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho2022,large_instance_4.json,large_solution_4.json,large,3602.62,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho2022,large_instance_5.json,large_solution_5.json,large,3600.56,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
carvalho2022,tiny_instance.json,tiny_solution.json,small,69.37,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
castro2021,large_instance_1.json,large_solution_1.json,large,1643.35,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
castro2021,large_instance_2.json,large_solution_2.json,large,1198.97,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
castro2021,large_instance_3.json,large_solution_3.json,large,2335.05,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
castro2021,large_instance_4.json,large_solution_4.json,large,,timeout_censored,historical_collaborator_archive,900,timeout-censored or unavailable -> 900s,True
castro2021,large_instance_5.json,large_solution_5.json,large,1538.78,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
castro2021,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
chebil2015,large_instance_1.json,large_solution_1.json,large,34.54,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
chebil2015,large_instance_2.json,large_solution_2.json,large,2.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
chebil2015,large_instance_3.json,large_solution_3.json,large,1.16,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
chebil2015,large_instance_4.json,large_solution_4.json,large,2.59,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
chebil2015,large_instance_5.json,large_solution_5.json,large,2188.6,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
chebil2015,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
chebil2019,large_instance_1.json,large_solution_1.json,large,3600.77,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
